,question,answer
0.0,What groups used attack technique 'T1036.002: Right-to-Left Override'?,"The groups that used attack technique 'T1036.002: Right-to-Left Override' are: 'G0004: Ke3chang', 'G0029: Scarlet Mimic', 'G0060: BRONZE BUTLER', 'G0098: BlackTech', 'G0137: Ferocious Kitten'"
0.0,What groups used attack technique 'T1518: Software Discovery'?,"The groups that used attack technique 'T1518: Software Discovery' are: 'G0060: BRONZE BUTLER', 'G0069: MuddyWater', 'G0081: Tropic Trooper', 'G0100: Inception', 'G0102: Wizard Spider', 'G0112: Windshift', 'G0121: Sidewinder', 'G0124: Windigo', 'G0129: Mustang Panda', 'G1001: HEXANE', 'G1008: SideCopy', 'G1017: Volt Typhoon'"
0.0,What groups used attack technique 'T1124: System Time Discovery'?,"The groups that used attack technique 'T1124: System Time Discovery' are: 'G0010: Turla', 'G0012: Darkhotel', 'G0032: Lazarus Group', 'G0060: BRONZE BUTLER', 'G0089: The White Company', 'G0114: Chimera', 'G0121: Sidewinder', 'G0126: Higaisa', 'G0128: ZIRCONIUM'"
0.0,What groups used attack technique 'T1080: Taint Shared Content'?,"The groups that used attack technique 'T1080: Taint Shared Content' are: 'G0012: Darkhotel', 'G0047: Gamaredon Group', 'G0060: BRONZE BUTLER', 'G1021: Cinnamon Tempest'"
0.0,What groups used attack technique 'T1055.001: Dynamic-link Library Injection'?,"The groups that used attack technique 'T1055.001: Dynamic-link Library Injection' are: 'G0010: Turla', 'G0024: Putter Panda', 'G0032: Lazarus Group', 'G0065: Leviathan', 'G0081: Tropic Trooper', 'G0092: TA505', 'G0102: Wizard Spider', 'G0135: BackdoorDiplomacy', 'G1026: Malteiro'"
0.0,What groups used attack technique 'T1588.003: Code Signing Certificates'?,"The groups that used attack technique 'T1588.003: Code Signing Certificates' are: 'G0027: Threat Group-3390', 'G0061: FIN8', 'G0098: BlackTech', 'G0102: Wizard Spider', 'G1003: Ember Bear'"
0.0,What groups used attack technique 'T1588.004: Digital Certificates'?,"The groups that used attack technique 'T1588.004: Digital Certificates' are: 'G0032: Lazarus Group', 'G0098: BlackTech', 'G0122: Silent Librarian', 'G1014: LuminousMoth'"
0.0,What groups used attack technique 'T1134: Access Token Manipulation'?,"The groups that used attack technique 'T1134: Access Token Manipulation' are: 'G0037: FIN6', 'G0108: Blue Mockingbird'"
0.0,What groups used attack technique 'T1574.012: COR_PROFILER'?,The groups that used attack technique 'T1574.012: COR_PROFILER' are: 'G0108: Blue Mockingbird'
0.0,What groups used attack technique 'T1110.004: Credential Stuffing'?,The groups that used attack technique 'T1110.004: Credential Stuffing' are: 'G0114: Chimera'
0.0,What groups used attack technique 'T1556.001: Domain Controller Authentication'?,The groups that used attack technique 'T1556.001: Domain Controller Authentication' are: 'G0114: Chimera'
0.0,What groups used attack technique 'T1069.001: Local Groups'?,"The groups that used attack technique 'T1069.001: Local Groups' are: 'G0010: Turla', 'G0018: admin@338', 'G0049: OilRig', 'G0114: Chimera', 'G0131: Tonto Team', 'G1001: HEXANE', 'G1017: Volt Typhoon'"
0.0,What groups used attack technique 'T1111: Multi-Factor Authentication Interception'?,"The groups that used attack technique 'T1111: Multi-Factor Authentication Interception' are: 'G0094: Kimsuky', 'G0114: Chimera', 'G1004: LAPSUS$'"
0.0,What groups used attack technique 'T1201: Password Policy Discovery'?,"The groups that used attack technique 'T1201: Password Policy Discovery' are: 'G0010: Turla', 'G0049: OilRig', 'G0114: Chimera'"
0.0,What groups used attack technique 'T1572: Protocol Tunneling'?,"The groups that used attack technique 'T1572: Protocol Tunneling' are: 'G0037: FIN6', 'G0049: OilRig', 'G0059: Magic Hound', 'G0065: Leviathan', 'G0080: Cobalt Group', 'G0114: Chimera', 'G0117: Fox Kitten', 'G1016: FIN13', 'G1021: Cinnamon Tempest'"
0.0,What groups used attack technique 'T1021.006: Windows Remote Management'?,"The groups that used attack technique 'T1021.006: Windows Remote Management' are: 'G0027: Threat Group-3390', 'G0102: Wizard Spider', 'G0114: Chimera', 'G1016: FIN13'"
0.0,What groups used attack technique 'T1484.001: Group Policy Modification'?,"The groups that used attack technique 'T1484.001: Group Policy Modification' are: 'G0119: Indrik Spider', 'G1021: Cinnamon Tempest'"
0.0,What groups used attack technique 'T1557.002: ARP Cache Poisoning'?,"The groups that used attack technique 'T1557.002: ARP Cache Poisoning' are: 'G0003: Cleaver', 'G1014: LuminousMoth'"
0.0,What groups used attack technique 'T1573.002: Asymmetric Cryptography'?,"The groups that used attack technique 'T1573.002: Asymmetric Cryptography' are: 'G0037: FIN6', 'G0049: OilRig', 'G0061: FIN8', 'G0080: Cobalt Group', 'G0081: Tropic Trooper', 'G1018: TA2541'"
0.0,What groups used attack technique 'T1218.003: CMSTP'?,"The groups that used attack technique 'T1218.003: CMSTP' are: 'G0069: MuddyWater', 'G0080: Cobalt Group'"
0.0,What groups used attack technique 'T1218.008: Odbcconf'?,The groups that used attack technique 'T1218.008: Odbcconf' are: 'G0080: Cobalt Group'
0.0,What groups used attack technique 'T1220: XSL Script Processing'?,"The groups that used attack technique 'T1220: XSL Script Processing' are: 'G0080: Cobalt Group', 'G0126: Higaisa'"
0.0,What groups used attack technique 'T1560.003: Archive via Custom Method'?,"The groups that used attack technique 'T1560.003: Archive via Custom Method' are: 'G0032: Lazarus Group', 'G0037: FIN6', 'G0052: CopyKittens', 'G0094: Kimsuky', 'G0129: Mustang Panda'"
0.0,What groups used attack technique 'T1187: Forced Authentication'?,"The groups that used attack technique 'T1187: Forced Authentication' are: 'G0035: Dragonfly', 'G0079: DarkHydrus'"
0.0,What groups used attack technique 'T1200: Hardware Additions'?,The groups that used attack technique 'T1200: Hardware Additions' are: 'G0105: DarkVishnya'
0.0,What groups used attack technique 'T1497.001: System Checks'?,"The groups that used attack technique 'T1497.001: System Checks' are: 'G0012: Darkhotel', 'G0049: OilRig', 'G0120: Evilnum', 'G1017: Volt Typhoon'"
0.0,What groups used attack technique 'T1497.002: User Activity Based Checks'?,"The groups that used attack technique 'T1497.002: User Activity Based Checks' are: 'G0012: Darkhotel', 'G0046: FIN7'"
0.0,What groups used attack technique 'T1497: Virtualization/Sandbox Evasion'?,The groups that used attack technique 'T1497: Virtualization/Sandbox Evasion' are: 'G0012: Darkhotel'
0.0,What groups used attack technique 'T1591.002: Business Relationships'?,"The groups that used attack technique 'T1591.002: Business Relationships' are: 'G0034: Sandworm Team', 'G0035: Dragonfly', 'G1004: LAPSUS$'"
0.0,What groups used attack technique 'T1069.002: Domain Groups'?,"The groups that used attack technique 'T1069.002: Domain Groups' are: 'G0004: Ke3chang', 'G0010: Turla', 'G0035: Dragonfly', 'G0046: FIN7', 'G0049: OilRig', 'G0100: Inception', 'G1004: LAPSUS$', 'G1017: Volt Typhoon', 'G1022: ToddyCat'"
0.0,What groups used attack technique 'T1564.002: Hidden Users'?,"The groups that used attack technique 'T1564.002: Hidden Users' are: 'G0035: Dragonfly', 'G0094: Kimsuky'"
0.0,What groups used attack technique 'T1598.002: Spearphishing Attachment'?,"The groups that used attack technique 'T1598.002: Spearphishing Attachment' are: 'G0035: Dragonfly', 'G0121: Sidewinder', 'G1008: SideCopy'"
0.0,What groups used attack technique 'T1597: Search Closed Sources'?,The groups that used attack technique 'T1597: Search Closed Sources' are: 'G1011: EXOTIC LILY'
0.0,What groups used attack technique 'T1594: Search Victim-Owned Websites'?,"The groups that used attack technique 'T1594: Search Victim-Owned Websites' are: 'G0034: Sandworm Team', 'G0094: Kimsuky', 'G0122: Silent Librarian', 'G1011: EXOTIC LILY'"
0.0,What groups used attack technique 'T1593.001: Social Media'?,"The groups that used attack technique 'T1593.001: Social Media' are: 'G0094: Kimsuky', 'G1011: EXOTIC LILY'"
0.0,What groups used attack technique 'T1003.006: DCSync'?,"The groups that used attack technique 'T1003.006: DCSync' are: 'G1004: LAPSUS$', 'G1006: Earth Lusca'"
0.0,What groups used attack technique 'T1547.012: Print Processors'?,The groups that used attack technique 'T1547.012: Print Processors' are: 'G1006: Earth Lusca'
0.0,What groups used attack technique 'T1098.004: SSH Authorized Keys'?,"The groups that used attack technique 'T1098.004: SSH Authorized Keys' are: 'G0139: TeamTNT', 'G1006: Earth Lusca'"
0.0,What groups used attack technique 'T1053: Scheduled Task/Job'?,The groups that used attack technique 'T1053: Scheduled Task/Job' are: 'G1006: Earth Lusca'
0.0,What groups used attack technique 'T1583.004: Server'?,"The groups that used attack technique 'T1583.004: Server' are: 'G0034: Sandworm Team', 'G0093: GALLIUM', 'G0094: Kimsuky', 'G1006: Earth Lusca', 'G1020: Mustard Tempest'"
0.0,What groups used attack technique 'T1584.006: Web Services'?,"The groups that used attack technique 'T1584.006: Web Services' are: 'G0010: Turla', 'G1006: Earth Lusca'"
0.0,What groups used attack technique 'T1218.002: Control Panel'?,The groups that used attack technique 'T1218.002: Control Panel' are: 'G1003: Ember Bear'
0.0,What groups used attack technique 'T1542.002: Component Firmware'?,The groups that used attack technique 'T1542.002: Component Firmware' are: 'G0020: Equation'
0.0,What groups used attack technique 'T1564.005: Hidden File System'?,"The groups that used attack technique 'T1564.005: Hidden File System' are: 'G0020: Equation', 'G0041: Strider'"
0.0,What groups used attack technique 'T1539: Steal Web Session Cookie'?,"The groups that used attack technique 'T1539: Steal Web Session Cookie' are: 'G0034: Sandworm Team', 'G0120: Evilnum', 'G1014: LuminousMoth', 'G1015: Scattered Spider'"
0.0,What groups used attack technique 'T1087: Account Discovery'?,The groups that used attack technique 'T1087: Account Discovery' are: 'G1016: FIN13'
0.0,What groups used attack technique 'T1565: Data Manipulation'?,The groups that used attack technique 'T1565: Data Manipulation' are: 'G1016: FIN13'
0.0,What groups used attack technique 'T1078.001: Default Accounts'?,"The groups that used attack technique 'T1078.001: Default Accounts' are: 'G0059: Magic Hound', 'G1016: FIN13'"
0.0,What groups used attack technique 'T1134.003: Make and Impersonate Token'?,The groups that used attack technique 'T1134.003: Make and Impersonate Token' are: 'G1016: FIN13'
0.0,What groups used attack technique 'T1556: Modify Authentication Process'?,The groups that used attack technique 'T1556: Modify Authentication Process' are: 'G1016: FIN13'
0.0,What groups used attack technique 'T1590.004: Network Topology'?,The groups that used attack technique 'T1590.004: Network Topology' are: 'G1016: FIN13'
0.0,What groups used attack technique 'T1564.008: Email Hiding Rules'?,"The groups that used attack technique 'T1564.008: Email Hiding Rules' are: 'G0085: FIN4', 'G1015: Scattered Spider'"
0.0,What groups used attack technique 'T1056.002: GUI Input Capture'?,The groups that used attack technique 'T1056.002: GUI Input Capture' are: 'G0085: FIN4'
0.0,What groups used attack technique 'T1546.011: Application Shimming'?,The groups that used attack technique 'T1546.011: Application Shimming' are: 'G0046: FIN7'
0.0,What groups used attack technique 'T1558.003: Kerberoasting'?,"The groups that used attack technique 'T1558.003: Kerberoasting' are: 'G0046: FIN7', 'G0102: Wizard Spider'"
0.0,What groups used attack technique 'T1021.005: VNC'?,"The groups that used attack technique 'T1021.005: VNC' are: 'G0036: GCMAN', 'G0046: FIN7', 'G0047: Gamaredon Group', 'G0117: Fox Kitten'"
0.0,What groups used attack technique 'T1125: Video Capture'?,"The groups that used attack technique 'T1125: Video Capture' are: 'G0046: FIN7', 'G0091: Silence'"
0.0,What groups used attack technique 'T1055.004: Asynchronous Procedure Call'?,The groups that used attack technique 'T1055.004: Asynchronous Procedure Call' are: 'G0061: FIN8'
0.0,What groups used attack technique 'T1530: Data from Cloud Storage'?,"The groups that used attack technique 'T1530: Data from Cloud Storage' are: 'G0117: Fox Kitten', 'G1015: Scattered Spider'"
0.0,What groups used attack technique 'T1555.005: Password Managers'?,"The groups that used attack technique 'T1555.005: Password Managers' are: 'G0027: Threat Group-3390', 'G0117: Fox Kitten', 'G1004: LAPSUS$'"
0.0,What groups used attack technique 'T1136.002: Domain Account'?,"The groups that used attack technique 'T1136.002: Domain Account' are: 'G0093: GALLIUM', 'G0102: Wizard Spider', 'G0125: HAFNIUM'"
0.0,What groups used attack technique 'T1020: Automated Exfiltration'?,"The groups that used attack technique 'T1020: Automated Exfiltration' are: 'G0004: Ke3chang', 'G0047: Gamaredon Group', 'G0081: Tropic Trooper', 'G0121: Sidewinder'"
0.0,What groups used attack technique 'T1027.004: Compile After Delivery'?,"The groups that used attack technique 'T1027.004: Compile After Delivery' are: 'G0047: Gamaredon Group', 'G0069: MuddyWater', 'G0106: Rocke'"
0.0,What groups used attack technique 'T1559.001: Component Object Model'?,"The groups that used attack technique 'T1559.001: Component Object Model' are: 'G0047: Gamaredon Group', 'G0069: MuddyWater'"
0.0,What groups used attack technique 'T1491.001: Internal Defacement'?,"The groups that used attack technique 'T1491.001: Internal Defacement' are: 'G0032: Lazarus Group', 'G0047: Gamaredon Group'"
0.0,What groups used attack technique 'T1534: Internal Spearphishing'?,"The groups that used attack technique 'T1534: Internal Spearphishing' are: 'G0047: Gamaredon Group', 'G0065: Leviathan', 'G0094: Kimsuky', 'G1001: HEXANE'"
0.0,What groups used attack technique 'T1055.002: Portable Executable Injection'?,"The groups that used attack technique 'T1055.002: Portable Executable Injection' are: 'G0078: Gorgon Group', 'G0106: Rocke'"
0.0,What groups used attack technique 'T1055.012: Process Hollowing'?,"The groups that used attack technique 'T1055.012: Process Hollowing' are: 'G0027: Threat Group-3390', 'G0040: Patchwork', 'G0045: menuPass', 'G0078: Gorgon Group', 'G0094: Kimsuky', 'G1018: TA2541'"
0.0,What groups used attack technique 'T1592.004: Client Configurations'?,The groups that used attack technique 'T1592.004: Client Configurations' are: 'G0125: HAFNIUM'
0.0,What groups used attack technique 'T1590: Gather Victim Network Information'?,The groups that used attack technique 'T1590: Gather Victim Network Information' are: 'G0125: HAFNIUM'
0.0,What groups used attack technique 'T1010: Application Window Discovery'?,"The groups that used attack technique 'T1010: Application Window Discovery' are: 'G0032: Lazarus Group', 'G1001: HEXANE'"
0.0,What groups used attack technique 'T1591.004: Identify Roles'?,"The groups that used attack technique 'T1591.004: Identify Roles' are: 'G1001: HEXANE', 'G1004: LAPSUS$'"
0.0,What groups used attack technique 'T1001.003: Protocol Impersonation'?,"The groups that used attack technique 'T1001.003: Protocol Impersonation' are: 'G0032: Lazarus Group', 'G0126: Higaisa'"
0.0,What groups used attack technique 'T1029: Scheduled Transfer'?,The groups that used attack technique 'T1029: Scheduled Transfer' are: 'G0126: Higaisa'
0.0,What groups used attack technique 'T1136: Create Account'?,"The groups that used attack technique 'T1136: Create Account' are: 'G0119: Indrik Spider', 'G1015: Scattered Spider'"
0.0,What groups used attack technique 'T1489: Service Stop'?,"The groups that used attack technique 'T1489: Service Stop' are: 'G0032: Lazarus Group', 'G0102: Wizard Spider', 'G0119: Indrik Spider', 'G1004: LAPSUS$'"
0.0,What groups used attack technique 'T1558.001: Golden Ticket'?,The groups that used attack technique 'T1558.001: Golden Ticket' are: 'G0004: Ke3chang'
0.0,What groups used attack technique 'T1614.001: System Language Discovery'?,"The groups that used attack technique 'T1614.001: System Language Discovery' are: 'G0004: Ke3chang', 'G1026: Malteiro'"
0.0,What groups used attack technique 'T1557: Adversary-in-the-Middle'?,The groups that used attack technique 'T1557: Adversary-in-the-Middle' are: 'G0094: Kimsuky'
0.0,What groups used attack technique 'T1176: Browser Extensions'?,The groups that used attack technique 'T1176: Browser Extensions' are: 'G0094: Kimsuky'
0.0,What groups used attack technique 'T1546.001: Change Default File Association'?,The groups that used attack technique 'T1546.001: Change Default File Association' are: 'G0094: Kimsuky'
0.0,What groups used attack technique 'T1587: Develop Capabilities'?,The groups that used attack technique 'T1587: Develop Capabilities' are: 'G0094: Kimsuky'
0.0,What groups used attack technique 'T1114.003: Email Forwarding Rule'?,"The groups that used attack technique 'T1114.003: Email Forwarding Rule' are: 'G0094: Kimsuky', 'G0122: Silent Librarian', 'G1004: LAPSUS$'"
0.0,What groups used attack technique 'T1588.005: Exploits'?,The groups that used attack technique 'T1588.005: Exploits' are: 'G0094: Kimsuky'
0.0,What groups used attack technique 'T1591: Gather Victim Org Information'?,"The groups that used attack technique 'T1591: Gather Victim Org Information' are: 'G0032: Lazarus Group', 'G0094: Kimsuky'"
0.0,What groups used attack technique 'T1593.002: Search Engines'?,The groups that used attack technique 'T1593.002: Search Engines' are: 'G0094: Kimsuky'
0.0,What groups used attack technique 'T1098.003: Additional Cloud Roles'?,"The groups that used attack technique 'T1098.003: Additional Cloud Roles' are: 'G1004: LAPSUS$', 'G1015: Scattered Spider'"
0.0,What groups used attack technique 'T1552.008: Chat Messages'?,The groups that used attack technique 'T1552.008: Chat Messages' are: 'G1004: LAPSUS$'
0.0,What groups used attack technique 'T1593.003: Code Repositories'?,The groups that used attack technique 'T1593.003: Code Repositories' are: 'G1004: LAPSUS$'
0.0,What groups used attack technique 'T1213.001: Confluence'?,The groups that used attack technique 'T1213.001: Confluence' are: 'G1004: LAPSUS$'
0.0,What groups used attack technique 'T1578.002: Create Cloud Instance'?,"The groups that used attack technique 'T1578.002: Create Cloud Instance' are: 'G1004: LAPSUS$', 'G1015: Scattered Spider'"
0.0,What groups used attack technique 'T1584.002: DNS Server'?,The groups that used attack technique 'T1584.002: DNS Server' are: 'G1004: LAPSUS$'
0.0,What groups used attack technique 'T1578.003: Delete Cloud Instance'?,The groups that used attack technique 'T1578.003: Delete Cloud Instance' are: 'G1004: LAPSUS$'
0.0,What groups used attack technique 'T1656: Impersonation'?,"The groups that used attack technique 'T1656: Impersonation' are: 'G1004: LAPSUS$', 'G1015: Scattered Spider'"
0.0,What groups used attack technique 'T1597.002: Purchase Technical Data'?,The groups that used attack technique 'T1597.002: Purchase Technical Data' are: 'G1004: LAPSUS$'
0.0,What groups used attack technique 'T1598.004: Spearphishing Voice'?,"The groups that used attack technique 'T1598.004: Spearphishing Voice' are: 'G1004: LAPSUS$', 'G1015: Scattered Spider'"
0.0,What groups used attack technique 'T1204: User Execution'?,"The groups that used attack technique 'T1204: User Execution' are: 'G1004: LAPSUS$', 'G1015: Scattered Spider'"
0.0,What groups used attack technique 'T1560.002: Archive via Library'?,"The groups that used attack technique 'T1560.002: Archive via Library' are: 'G0027: Threat Group-3390', 'G0032: Lazarus Group'"
0.0,What groups used attack technique 'T1134.002: Create Process with Token'?,"The groups that used attack technique 'T1134.002: Create Process with Token' are: 'G0010: Turla', 'G0032: Lazarus Group'"
0.0,What groups used attack technique 'T1561.001: Disk Content Wipe'?,The groups that used attack technique 'T1561.001: Disk Content Wipe' are: 'G0032: Lazarus Group'
0.0,What groups used attack technique 'T1027.007: Dynamic API Resolution'?,The groups that used attack technique 'T1027.007: Dynamic API Resolution' are: 'G0032: Lazarus Group'
0.0,What groups used attack technique 'T1202: Indirect Command Execution'?,The groups that used attack technique 'T1202: Indirect Command Execution' are: 'G0032: Lazarus Group'
0.0,What groups used attack technique 'T1574.013: KernelCallbackTable'?,The groups that used attack technique 'T1574.013: KernelCallbackTable' are: 'G0032: Lazarus Group'
0.0,What groups used attack technique 'T1557.001: LLMNR/NBT-NS Poisoning and SMB Relay'?,"The groups that used attack technique 'T1557.001: LLMNR/NBT-NS Poisoning and SMB Relay' are: 'G0032: Lazarus Group', 'G0102: Wizard Spider'"
0.0,What groups used attack technique 'T1620: Reflective Code Loading'?,The groups that used attack technique 'T1620: Reflective Code Loading' are: 'G0032: Lazarus Group'
0.0,What groups used attack technique 'T1218: System Binary Proxy Execution'?,The groups that used attack technique 'T1218: System Binary Proxy Execution' are: 'G0032: Lazarus Group'
0.0,What groups used attack technique 'T1055.013: Process Doppelgänging'?,The groups that used attack technique 'T1055.013: Process Doppelgänging' are: 'G0077: Leafminer'
0.0,What groups used attack technique 'T1102.003: One-Way Communication'?,The groups that used attack technique 'T1102.003: One-Way Communication' are: 'G0065: Leviathan'
0.0,What groups used attack technique 'T1586.001: Social Media Accounts'?,"The groups that used attack technique 'T1586.001: Social Media Accounts' are: 'G0034: Sandworm Team', 'G0065: Leviathan'"
0.0,What groups used attack technique 'T1608.005: Link Target'?,"The groups that used attack technique 'T1608.005: Link Target' are: 'G0122: Silent Librarian', 'G1014: LuminousMoth'"
0.0,What groups used attack technique 'T1218.007: Msiexec'?,"The groups that used attack technique 'T1218.007: Msiexec' are: 'G0021: Molerats', 'G0075: Rancor', 'G0092: TA505', 'G0095: Machete', 'G0128: ZIRCONIUM'"
0.0,What groups used attack technique 'T1071: Application Layer Protocol'?,"The groups that used attack technique 'T1071: Application Layer Protocol' are: 'G0059: Magic Hound', 'G0106: Rocke', 'G0139: TeamTNT'"
0.0,What groups used attack technique 'T1591.001: Determine Physical Locations'?,The groups that used attack technique 'T1591.001: Determine Physical Locations' are: 'G0059: Magic Hound'
0.0,What groups used attack technique 'T1562.002: Disable Windows Event Logging'?,"The groups that used attack technique 'T1562.002: Disable Windows Event Logging' are: 'G0027: Threat Group-3390', 'G0059: Magic Hound'"
0.0,What groups used attack technique 'T1087.003: Email Account'?,"The groups that used attack technique 'T1087.003: Email Account' are: 'G0034: Sandworm Team', 'G0059: Magic Hound', 'G0092: TA505'"
0.0,What groups used attack technique 'T1114: Email Collection'?,"The groups that used attack technique 'T1114: Email Collection' are: 'G0059: Magic Hound', 'G0122: Silent Librarian'"
0.0,What groups used attack technique 'T1562: Impair Defenses'?,The groups that used attack technique 'T1562: Impair Defenses' are: 'G0059: Magic Hound'
0.0,What groups used attack technique 'T1016.002: Wi-Fi Discovery'?,The groups that used attack technique 'T1016.002: Wi-Fi Discovery' are: 'G0059: Magic Hound'
0.0,What groups used attack technique 'T1659: Content Injection'?,The groups that used attack technique 'T1659: Content Injection' are: 'G1019: MoustachedBouncer'
0.0,What groups used attack technique 'T1137.001: Office Template Macros'?,The groups that used attack technique 'T1137.001: Office Template Macros' are: 'G0069: MuddyWater'
0.0,What groups used attack technique 'T1036.007: Double File Extension'?,The groups that used attack technique 'T1036.007: Double File Extension' are: 'G0129: Mustang Panda'
0.0,What groups used attack technique 'T1052.001: Exfiltration over USB'?,"The groups that used attack technique 'T1052.001: Exfiltration over USB' are: 'G0081: Tropic Trooper', 'G0129: Mustang Panda'"
0.0,What groups used attack technique 'T1218.004: InstallUtil'?,"The groups that used attack technique 'T1218.004: InstallUtil' are: 'G0045: menuPass', 'G0129: Mustang Panda'"
0.0,What groups used attack technique 'T1608: Stage Capabilities'?,The groups that used attack technique 'T1608: Stage Capabilities' are: 'G0129: Mustang Panda'
0.0,What groups used attack technique 'T1583.008: Malvertising'?,The groups that used attack technique 'T1583.008: Malvertising' are: 'G1020: Mustard Tempest'
0.0,What groups used attack technique 'T1608.006: SEO Poisoning'?,The groups that used attack technique 'T1608.006: SEO Poisoning' are: 'G1020: Mustard Tempest'
0.0,What groups used attack technique 'T1137.006: Add-ins'?,The groups that used attack technique 'T1137.006: Add-ins' are: 'G0019: Naikon'
0.0,What groups used attack technique 'T1137.004: Outlook Home Page'?,The groups that used attack technique 'T1137.004: Outlook Home Page' are: 'G0049: OilRig'
0.0,What groups used attack technique 'T1555.004: Windows Credential Manager'?,"The groups that used attack technique 'T1555.004: Windows Credential Manager' are: 'G0010: Turla', 'G0038: Stealth Falcon', 'G0049: OilRig', 'G0102: Wizard Spider'"
0.0,What groups used attack technique 'T1056.004: Credential API Hooking'?,The groups that used attack technique 'T1056.004: Credential API Hooking' are: 'G0068: PLATINUM'
0.0,What groups used attack technique 'T1587.002: Code Signing Certificates'?,"The groups that used attack technique 'T1587.002: Code Signing Certificates' are: 'G0040: Patchwork', 'G0056: PROMETHIUM'"
0.0,What groups used attack technique 'T1205.001: Port Knocking'?,The groups that used attack technique 'T1205.001: Port Knocking' are: 'G0056: PROMETHIUM'
0.0,What groups used attack technique 'T1070.002: Clear Linux or Mac System Logs'?,"The groups that used attack technique 'T1070.002: Clear Linux or Mac System Logs' are: 'G0106: Rocke', 'G0139: TeamTNT'"
0.0,What groups used attack technique 'T1552.004: Private Keys'?,"The groups that used attack technique 'T1552.004: Private Keys' are: 'G0106: Rocke', 'G0139: TeamTNT', 'G1015: Scattered Spider'"
0.0,What groups used attack technique 'T1543.002: Systemd Service'?,"The groups that used attack technique 'T1543.002: Systemd Service' are: 'G0106: Rocke', 'G0139: TeamTNT'"
0.0,What groups used attack technique 'T1583: Acquire Infrastructure'?,The groups that used attack technique 'T1583: Acquire Infrastructure' are: 'G0034: Sandworm Team'
0.0,What groups used attack technique 'T1590.001: Domain Properties'?,The groups that used attack technique 'T1590.001: Domain Properties' are: 'G0034: Sandworm Team'
0.0,What groups used attack technique 'T1499: Endpoint Denial of Service'?,The groups that used attack technique 'T1499: Endpoint Denial of Service' are: 'G0034: Sandworm Team'
0.0,What groups used attack technique 'T1491.002: External Defacement'?,The groups that used attack technique 'T1491.002: External Defacement' are: 'G0034: Sandworm Team'
0.0,What groups used attack technique 'T1593: Search Open Websites/Domains'?,The groups that used attack technique 'T1593: Search Open Websites/Domains' are: 'G0034: Sandworm Team'
0.0,What groups used attack technique 'T1588.006: Vulnerabilities'?,The groups that used attack technique 'T1588.006: Vulnerabilities' are: 'G0034: Sandworm Team'
0.0,What groups used attack technique 'T1580: Cloud Infrastructure Discovery'?,The groups that used attack technique 'T1580: Cloud Infrastructure Discovery' are: 'G1015: Scattered Spider'
0.0,What groups used attack technique 'T1538: Cloud Service Dashboard'?,The groups that used attack technique 'T1538: Cloud Service Dashboard' are: 'G1015: Scattered Spider'
0.0,What groups used attack technique 'T1556.009: Conditional Access Policies'?,The groups that used attack technique 'T1556.009: Conditional Access Policies' are: 'G1015: Scattered Spider'
0.0,What groups used attack technique 'T1074: Data Staged'?,"The groups that used attack technique 'T1074: Data Staged' are: 'G0102: Wizard Spider', 'G1015: Scattered Spider', 'G1017: Volt Typhoon'"
0.0,What groups used attack technique 'T1006: Direct Volume Access'?,The groups that used attack technique 'T1006: Direct Volume Access' are: 'G1015: Scattered Spider'
0.0,What groups used attack technique 'T1556.006: Multi-Factor Authentication'?,The groups that used attack technique 'T1556.006: Multi-Factor Authentication' are: 'G1015: Scattered Spider'
0.0,What groups used attack technique 'T1484.002: Trust Modification'?,The groups that used attack technique 'T1484.002: Trust Modification' are: 'G1015: Scattered Spider'
0.0,What groups used attack technique 'T1614: System Location Discovery'?,The groups that used attack technique 'T1614: System Location Discovery' are: 'G1008: SideCopy'
0.0,What groups used attack technique 'T1556.002: Password Filter DLL'?,The groups that used attack technique 'T1556.002: Password Filter DLL' are: 'G0041: Strider'
0.0,What groups used attack technique 'T1568.001: Fast Flux DNS'?,"The groups that used attack technique 'T1568.001: Fast Flux DNS' are: 'G0045: menuPass', 'G0092: TA505'"
0.0,What groups used attack technique 'T1552.005: Cloud Instance Metadata API'?,The groups that used attack technique 'T1552.005: Cloud Instance Metadata API' are: 'G0139: TeamTNT'
0.0,What groups used attack technique 'T1609: Container Administration Command'?,The groups that used attack technique 'T1609: Container Administration Command' are: 'G0139: TeamTNT'
0.0,What groups used attack technique 'T1613: Container and Resource Discovery'?,The groups that used attack technique 'T1613: Container and Resource Discovery' are: 'G0139: TeamTNT'
0.0,What groups used attack technique 'T1610: Deploy Container'?,The groups that used attack technique 'T1610: Deploy Container' are: 'G0139: TeamTNT'
0.0,What groups used attack technique 'T1611: Escape to Host'?,The groups that used attack technique 'T1611: Escape to Host' are: 'G0139: TeamTNT'
0.0,What groups used attack technique 'T1048: Exfiltration Over Alternative Protocol'?,The groups that used attack technique 'T1048: Exfiltration Over Alternative Protocol' are: 'G0139: TeamTNT'
0.0,What groups used attack technique 'T1204.003: Malicious Image'?,The groups that used attack technique 'T1204.003: Malicious Image' are: 'G0139: TeamTNT'
0.0,What groups used attack technique 'T1595.001: Scanning IP Blocks'?,The groups that used attack technique 'T1595.001: Scanning IP Blocks' are: 'G0139: TeamTNT'
0.0,What groups used attack technique 'T1569: System Services'?,The groups that used attack technique 'T1569: System Services' are: 'G0139: TeamTNT'
