,question,answer
136,Can you walk me through how SSL/TLS works?,"SSL (now deprecated) and TLS (its modern replacement) are cryptographic protocols that secure data as it moves across a network - especially the internet. When you visit a secure website (the kind with ""https""), you're using TLS to protect the connection between your browser and the web server. Here's how it works at a high level: The handshake When a client (like a browser) connects to a server over HTTPS, they begin with a TLS handshake. This involves negotiating which version of TLS to use, selecting encryption algorithms, and exchanging digital certificates to prove the server's identity. Certificate validation The server sends a public certificate which is usually issued by a trusted certificate authority (CA). The client checks this certificate to make sure it's valid, hasn't expired, and matches the domain. This step ensures you're talking to the right server, not an impersonator. Key exchange Once the certificate is validated, the client and server agree on a shared session key using asymmetric encryption (like RSA or Diffie-Hellman). This key will be used to encrypt the rest of the session using faster symmetric encryption. Secure communication From that point forward, all data sent between the two is encrypted using the shared key. This protects against eavesdropping (confidentiality) and tampering (integrity). TLS also includes protections like message authentication codes (MACs) to verify the data hasn't been altered, and sequence numbers to prevent replay attacks. Why interviewers ask this TLS is everywhere, from web browsing to APIs to email encryption. If you can explain the handshake, the use of certificates, and why symmetric and asymmetric encryption are both involved, it shows you've got a practical handle on how secure systems are built."
137,How do you stay current with security news and emerging threats?,"Cyber security changes fast. New vulnerabilities are discovered daily, attackers constantly evolve their tactics, and tools you learned a few months ago might already be outdated, so it's vital to stay current. A strong answer here isn't about listing every blog you follow, but showing that you treat staying informed as an active habit, not a one-off task. Here's how many analysts do it: Security news sources. Sites like Krebs on Security, The Hacker News, and Dark Reading offer daily updates on breaches, threat actor activity, and major vulnerabilities Threat intelligence feeds. Free or commercial feeds (like AlienVault OTX, Recorded Future, or CISA advisories) help you track active IOCs and attack patterns Podcasts and YouTube channels. For passive learning during a commute or downtime. Examples include Malicious Life, CyberWire Daily, or John Hammond for hands-on content Twitter/X and LinkedIn. Many researchers and vendors post zero-day alerts or PoCs here before they make it into official channels Hands-on platforms. Labs and CTFs (like TryHackMe, Hack The Box, or Immersive Labs) often tie exercises to recent attacks, letting you learn by doing More important than the sources themselves, is showing how you use them. What do I mean? Well, reading about a CVE is one thing but pulling it into your lab, trying to exploit it safely, and understanding how to detect or block it in your environment is what sets professionals apart. Why interviewers ask this If you treat security like a static checklist, you'll quickly fall behind. But if you're proactive then it shows you're growing into the kind of analyst teams rely on to stay ahead of the curve."
138,"What's the difference between encoding, encryption, and hashing?","These three techniques all involve transforming data but their purpose, reversibility, and security are completely different. Let's break them down: Encoding is about formatting data so it can be safely transmitted or stored. It's not meant for security. Anyone who knows the encoding method can reverse it. For example, Base64 encoding takes binary data and turns it into ASCII characters so it can be sent in an email or URL. It's reversible and not designed to hide or protect data Encryption is about securing data by making it unreadable to anyone without the proper key. It's reversible but only if you have the right key. This is what we use to protect data in transit (like HTTPS) or data at rest (like encrypted hard drives). It's all about confidentiality Hashing is about verifying data integrity. It transforms input data into a fixed-length value (a hash), and this process is one-way. You can't reverse it to get the original input. Even a small change in the input will produce a completely different hash. This is how passwords are stored securely, or how files are checked for tampering. If two hashes match, you can trust the data hasn't changed Why interviewers ask this They want to see whether you understand what these tools are actually for. Misunderstanding them and thinking something like Base64 is a secure way to store passwords is a big red flag. But if you can clearly explain the purpose and limitations of each, it shows you're ready to use the right technique for the right job."
139,What steps would you take if you saw unusual outbound traffic from a user's machine?,"Unusual outbound traffic can be an early sign that something's wrong, such as malware communicating with a command-and-control (C2) server, data being exfiltrated, or a compromised account misbehaving. So how you respond shows whether you can investigate without jumping to conclusions, contain the issue, and prevent damage. Here's how most analysts approach this: Validate the alert First, confirm whether the traffic is actually unusual. False positives are common, so check the destination IP or domain. Does it look suspicious? Is it known on threat intel feeds? What protocol is being used, and what port? Correlate with other logs Use your SIEM or EDR tool to see what else the system or user was doing around the same time. Were there failed login attempts? New processes? File access or downloads? This helps you understand the broader picture and whether the traffic is part of a larger pattern. Check for known threats Look up indicators of compromise (IOCs) tied to the destination. Use tools like VirusTotal, URLhaus, or commercial threat intel platforms to see if others have flagged it as malicious. Isolate the host if needed If you suspect compromise, isolate the system from the network to stop further damage. This might be as simple as disabling the port, blocking outbound traffic, or using EDR containment features. Dig into the root cause What initiated the traffic? Was it a user action, a scheduled task, or malware? Check process trees, command history, browser sessions, or installed applications to find out what triggered the connection. Remediate and monitor If you confirm a threat, remove any malware or unauthorized software, reset credentials if needed, and tighten firewall rules or endpoint controls. Keep monitoring the host after remediation to ensure there's no reinfection or missed backdoor. Why interviewers ask this They're looking for a structured, thoughtful approach and not just ""block it and move on."" If you can show that you know how to investigate thoroughly and balance action with caution, it proves you're ready to respond to incidents in a real-world environment."
140,How would you perform a root cause analysis after a security incident?,"Root cause analysis (RCA) is about understanding why an incident happened and not just what it was. It's how security teams move from reacting to a current issue to preventing future ones, by identifying the real weakness that let the incident occur and making sure it doesn't happen again. Here's how a solid RCA typically unfolds: Confirm the timeline Start by establishing when the incident began, when it was detected, and when it was contained. Use SIEM logs, endpoint data, alerts, and timestamps from involved systems to create a reliable sequence of events. Trace the initial access point Figure out how the attacker got in. Was it a phishing email, a vulnerable public-facing service, stolen credentials, or insider activity? Look for signs in web logs, firewall rules, email headers, or authentication logs. Map the attack path What did the attacker do once inside? Did they move laterally, escalate privileges, or access sensitive data? Use endpoint telemetry, command histories, or file access logs to recreate their movements. Pay close attention to what tools or scripts they used. Identify what failed This is the actual ""root cause."" Was it a missing patch, poor logging, overly permissive access, or lack of monitoring? You're looking for the underlying gap in controls or process that made the attack possible or allowed it to escalate. Document the findings Write a clear, structured report that explains the timeline, impact, and root cause in plain language. Include any assumptions made, evidence collected, and technical indicators. Your report may also go to non-technical stakeholders, so clarity matters. Recommend corrective actions RCA is only useful if it leads to change. That might mean improving detection rules, tightening access policies, patching systems, updating response procedures, or training staff. Why interviewers ask this They want to know if you think beyond alerts and symptoms, so if you can walk through how you'd reconstruct an attack, isolate the true cause, and help the team learn from it, you're showing you're ready to contribute at a higher level, not just react to alarms."
141,Describe a threat-hunting approach you would use in a large network,"Threat hunting is about proactively looking for signs of compromise that your tools didn't catch. It's different from alert-driven investigation where you respond to something the system flagged. Hunting starts with curiosity and experience, not a triggered rule. In a large network, you often don't get a clean signal. Attackers can blend in with legitimate traffic, use stolen credentials, or exploit tools already used by admins. So a strong threat-hunting process is methodical and grounded in attacker behavior. Here's how it typically works: Form a hypothesis based on threat intel or behavior This hypothesis might come from recent alerts, intelligence about active groups, or gaps in your existing detection coverage. Starting with behavior (rather than just indicators) is key because it leads to better long-term detection. For example,""What if a threat actor is using a legitimate service account to move laterally via RDP?"" Identify relevant data sources Choose which logs or telemetry can confirm or disprove the hypothesis. That might include authentication logs, network traffic, endpoint process data, DNS queries, or cloud activity logs. In large networks, narrowing your scope (to a department, time range, or known high-risk system) helps avoid drowning in data. Hunt for patterns that match attacker tactics For example, if you're hunting for lateral movement, you might look for: Unusual RDP sessions outside business hours Service accounts logging into user endpoints Windows Event ID 4624 logons with suspicious process activity Sort the data Tools like Splunk, Elastic, Velociraptor, or Jupyter notebooks can help sift through large volumes of data quickly. If your org uses the MITRE ATT&CK framework, it can guide which behaviors to hunt for and help map what techniques you already cover. Investigate anything that stands out If you see something odd like a PowerShell script executed by a user who rarely uses PowerShell and then trace it further. What host was it run on? What happened before and after? What other systems did that user touch? This is where pivoting through log data is critical. Document your findings and improve detection Even if you don't find an active threat, the hunt still has value. You may identify noisy logs, blind spots in coverage, or gaps in existing rules. Any useful patterns you uncover can be turned into new detection rules to automate alerts next time. Why interviewers ask this They're testing whether you understand how advanced threats behave and whether you can take initiative without waiting for an alert. If you can walk through a real hunting process, grounded in attacker behavior and backed by smart use of data, it shows you're ready to contribute beyond the basics of alert triage and into long-term defense improvement."
142,What steps would you take to reduce false positives in IDS alerts?,"False positives can overwhelm security teams, waste time, and hide real threats. The goal is to tune the system so it detects real threats, not routine business activity, without suppressing anything important. Here's how you'd approach that: Prioritize the noisiest rules Start by identifying which signatures are firing the most. For example, maybe a rule is flagging internal vulnerability scans as port scans, or triggering on encrypted traffic that can't be inspected. Group alerts by signature ID, source, and destination so you can focus on what's creating the most noise. Understand the traffic and business context Work with IT or networking teams to understand what that traffic actually is. Maybe a daily database backup to cloud storage is triggering a data exfiltration alert. Or maybe an in-house monitoring tool is sending pings that the IDS interprets as a reconnaissance scan. If you don't understand what ""normal"" looks like, you'll keep chasing harmless events. Tune the rules This is where you adjust the logic of the rule: Add exceptions based on IP address or port (e.g. exclude internal tools or trusted services) Modify the pattern to be more specific (e.g. match only on a certain payload size or header) Tighten the time window or event threshold (e.g. only trigger on 5+ failed logins within 60 seconds) In tools like Snort or Suricata, this often means editing rule files directly or writing suppression rules. In commercial tools, it may involve using built-in filters or UI-based rule editors. Layer in contextual detection If your IDS supports it, integrate threat intelligence, geolocation, or asset criticality. For example, you might accept certain traffic from internal dev systems but alert if the same activity comes from a public IP or hits a production database. Test, monitor, and iterate After tuning, test against both real traffic and simulated attacks. Did you eliminate noise without silencing something important? Add logging to track suppression hits over time so you can revisit them if behavior changes. Document everything False positive tuning decisions should be recorded: what was changed, why it was safe, and who approved it. This helps with audits, team transparency, and long-term tuning hygiene. Why interviewers ask this They're testing whether you understand the balance between visibility and signal quality. Anyone can say ""tune the IDS,"" but they're looking for someone who can explain how to do it, why it's necessary, and how not to break detection in the process. So if you can talk through real examples of reducing alert fatigue while preserving coverage, it shows you're ready to own part of the detection engineering pipeline."
143,How would you secure an AWS-hosted web app from common vulnerabilities?,"Securing a web app in AWS means protecting both the application layer and the cloud infrastructure it runs on. (Attackers don't care where the weak spot is, whether it's in your code, your misconfigured S3 bucket, or your overly permissive IAM roles). So a good answer here shows that you understand how to think across layers and not just at the surface. Here's how you'd approach it: Start with application security basics Make sure the app itself follows best practices: Input validation and output encoding to prevent injection attacks (like SQLi or XSS) Use modern authentication protocols (like OAuth or OpenID Connect) Store passwords with strong hashing algorithms (e.g., bcrypt, Argon2) Sanitize file uploads, enforce HTTPS, and implement rate limiting for brute-force protection Use AWS services to your advantage AWS offers tools built for secure deployment: Use WAF (Web Application Firewall) to block common attack patterns like SQL injection or XSS Set up Shield or Shield Advanced to mitigate DDoS attacks Enable CloudFront for CDN-level security and TLS termination Store secrets using AWS Secrets Manager, not in environment variables or code Lock down S3 and other storage buckets One of the most common AWS mistakes is making S3 buckets public by default. Enable bucket policies to restrict access to trusted services or users only Use server-side encryption to protect stored data Enable logging to monitor access and detect misconfigurations early Harden the EC2 and Lambda environments If you're using EC2: Only allow required inbound traffic (e.g., HTTPS on port 443) Apply patches regularly using AWS Systems Manager Patch Manager Use IAM instance roles instead of hardcoded credentials If you're using serverless (Lambda): Limit each function's permissions to exactly what it needs (principle of least privilege) Monitor invocation patterns to detect abuse or compromise Use IAM and access control carefully IAM roles and policies are dangerous if misused. Avoid wildcard permissions (e.g., ""s3:*"") Enable MFA for all users, especially root Regularly audit IAM policies and rotate credentials Monitor, log, and alert Enable CloudTrail for auditing AWS API activity Use GuardDuty to detect suspicious behavior across AWS services Centralize logs in CloudWatch and set up alerts for anomalies (e.g., unauthorized API calls or sudden traffic spikes) Why interviewers ask this Securing an AWS-hosted web app isn't just about writing safe code, It's also about using cloud-native tools, locking down infrastructure, and understanding shared responsibility. So if you can walk through multiple layers of protection you're showing you're ready to secure real-world cloud deployments."
144,What's your approach to creating a layered security strategy?,"A layered security strategy, (also called defense in depth), means building multiple overlapping defenses so that if one control fails, others are still in place to protect the system. No single solution is perfect. Attackers often exploit the gaps between layers, so the idea is to minimize those gaps and make compromise as difficult and time-consuming as possible. Here's how to approach it in practice: Start with understanding what you're protecting Every security decision should be tied to an asset. Is it customer data, intellectual property, critical infrastructure? Understanding what's most valuable helps prioritize the strongest protections where they matter most. Build layers across different domains A good layered strategy includes controls at multiple levels: Network layer. Use firewalls, network segmentation, VPNs, and traffic filtering Endpoint layer. Use EDR tools, host-based firewalls, app whitelisting, local encryption Application layer. Use secure coding practices, web application firewalls, authentication controls Data layer. Make sure to use encryption at rest and in transit, access controls, data loss prevention Identity layer. Employ role-based access, MFA, least privilege, SSO Monitoring and detection. Use SIEM, anomaly detection, alerting, centralized logging Response and recovery. Make sure to have backup systems, playbooks, incident response planning Apply the principle of least privilege everywhere Every user, system, and process should only have the access it absolutely needs and nothing more. This reduces the blast radius of a breach and helps limit lateral movement. Assume breach Don't just focus on keeping attackers out. Design your layers assuming someone will eventually get in. That means building detection and containment into your strategy, not just prevention. For example, even if a phishing email gets through, endpoint detection and rapid isolation can stop it from spreading. Regularly test and validate the layers Run tabletop exercises, red team engagements, or even internal audits to make sure the layers are working together. Just because a control exists doesn't mean it's effective or properly configured. Prioritize usability and maintainability A layered strategy is only effective if it's usable. If your controls are too restrictive, users will find workarounds. If they're too complex, they'll be misconfigured. Balance matters just as much as coverage. Why interviewers ask this They're looking for strategic thinking and not just whether you know tools, but whether you understand how to build resilience. If you can walk through how to combine prevention, detection, and response across layers and explain why each matters, you're showing that you think like someone who can help design secure systems, not just patch them."
145,"What's the difference between red teaming, blue teaming, and purple teaming?","Red, blue, and purple teaming is a structured approach to testing and improving security defenses. It's a deliberate framework used across the industry to simulate attacks, measure detection, defense, and response, and improve over time. Here's how it works: Red teams simulate real-world attackers. Their job is to find weaknesses and exploit them such as phishing users, exploiting vulnerabilities, moving laterally across systems. The goal is to test how well defenses hold up, not just whether a tool catches something Blue teams are the defenders. They monitor logs, detect suspicious activity, investigate alerts, and respond to threats. In a red team exercise, they often don't know what's coming, which helps simulate the stress and unpredictability of real-world incidents Purple teaming is about collaboration. So instead of testing defenses in a silo, red and blue teams work together. They share what was done, what was missed, and what needs to improve. Purple teaming turns red vs. blue into a feedback loop that strengthens both offense and defense Why interviewers ask this Knowing the difference between red, blue, and purple teaming shows that you're thinking beyond isolated tools and alerts. You're thinking in terms of long-term, structured resilience."
146,"Explain the differences between risk, vulnerability, and a threat","Vulnerability is a weakness or gap in a company's security efforts, while a threat is a hacker who has noticed this weakness and exploits it. A risk, on the other hand, is a measure of how much the vulnerability has been exploited."
147,What are the differences between symmetric and asymmetric encryption? And which is better?,"Symmetric encryption is a type of encryption that uses a single key, a secret key, to both encrypt and decrypt electronic information. Entities communicating via symmetric encryption must exchange the key so they can be used in the decryption process. On the other hand, Asymmetric encryption uses two keys, one public and one private, to encrypt and decrypt messages. While the symmetric encryption is faster, the key needs to be transferred using an unencrypted channel, the asymmetric encryption is slower but more secure. Each has its pros and cons, which means a better approach is to combine the two types of encryption. This means we'll need to set up a channel with asymmetric encryption and send the data using a symmetric process."
148,"What does a white-hat, black-hat, and grey-hat hacker mean?","A white-hat hacker , known as an ethical hacker, is a person who uses their hacking skills to find vulnerabilities in companies' networks. White-hat hackers are usually employed by the company under a non-disclosure agreement (NDA) to hack their systems and servers so that the company can then reinforce its firewalls and cybersecurity protocols. A black-hat hacker or a malicious hacker is a cybercriminal. Black-hat hackers attack companies' and organizations' networks to uncover private information whether for personal or political gain or for fun. A grey-hat hacker is someone who is in-between the other two. They might hack into systems and networks and violate laws but they usually don't have the malicious intentions of black-hat hackers."
149,What is the difference between a data leak and a data breach?,"A data leak is when unauthorized information is released either through an unauthorized person or because the information was accessed by a hacker. A data breach is part of a cyberattack and involves a cybercriminal attacking a system, server, or email."
150,What are the main elements of cybersecurity?,They are: - Information security - Network security - Application security - Operational security - End-user security - Business continuity planning
151,What is Cryptography?,"This is one of the most common cybersecurity interview questions. Interviewers use it to see if you have the basic knowledge of cybersecurity processes. Your answer should include both a definition of cryptography and how you've used it in the past (if you have). Cryptography is a method of secure communication to protect data from third parties that the data isn't intended for. You can say something like: 'In my previous position, I used cryptography to encrypt the company's data and ensure that the information is transferred securely via the company's private network.'"
152,What is the CIA triad?,"CIA stands for confidentiality, integrity, and availability. The CIA triad is used to secure both systems and operations."
153,What's the difference between hashing and encryption?,"Hashing is the process of converting data into a different format that only an authorized person can access, whereas encryption involves coding the data where a person with an encryption key or a password can access the data. Hashing offers more data security than encryption."
154,What are the differences between IDS and IPS?,"An intrusion detection system or IDS is a system that detects possible intrusions. However, it's often less efficient compared to the intrusion prevention system (IPS). The IPS helps streamline the security process as a whole. Both IDS and IPS compare network packets to databases that contain signatures of cyberattacks. They also flag any packets that match the cyberattack signatures."
155,What is a firewall?,"A firewall is a network security system that monitors and controls traffic to protect a company's network from viruses, malware, and other cybersecurity risks. Firewalls are used across organizations of all sizes and by individuals. If you're applying for a cybersecurity analyst role , then you're likely to see several of the following questions in your job interview."
156,How can you strengthen user authentication in the company?,"To enhance user authentication, I'd use two-factor authentication or, depending on the company's needs, a non-repudiation approach. After that, I'd use these two methods with the network for failsafe authentication."
157,What is a VPN?,A VPN is a virtual private network. It can be applied to both small-scale networks and to large informational data systems.
158,How would you set up a firewall?,"These are the steps I would follow to set up a firewall: 1. For the username and password: We'll need to change the default password for a firewall device. 2. For remote administration: We'll need to disable this feature . 3. For port forwarding: We'll have to configure the correct port forwarding to ensure that applications, like a web server or an FTP server, work properly. 4. We'll need to ensure that the network's DHCP server is disabled before installing the firewall. Otherwise, it will cause a conflict. 5. We'll need to make sure that logging is enabled so that we can troubleshoot any firewall issues or possible attacks. 6. In terms of policies, we should have clear security policies. The firewall should enforce those policies."
159,How would you prevent identity theft? Mention the steps you'd use,"To prevent identity theft, I'd start with ensuring that all company passwords are strong, unique, and hard to break. After that, I'd use specialized security solutions such as encrypting data files including sensitive information like customer data, credit card information, and social security numbers, and updating system networks."
160,How would you advise other employees in the organization to avoid identity theft?,"I would offer them the following tips: - Make sure you use a strong password including letters, numbers, and special characters - Only shop via popular and trusted websites - Don't share any passwords with anyone - Install advanced spyware and malware protection tools on your computers - Keep your system and software up-to-date - Don't share confidential information online or on social media - Make sure your browser is up-to-date"
161,What is a MITM attack?,"A man in the middle (MITM) attack is when an unauthorized person eavesdrops on or enters a conversation between a user and application. This unauthorized person may also impersonate the application or chatbot, making it seem like a normal conversation when their actual target is to steal the user's personal information such as login credentials, credit card information, or account details."
162,How would you prevent a MITM attack?,"To prevent a MITM attack, I'd log onto the company's VPN and use a strong WPA or WEP encryption. After that, I'd use an IDS to review potential risk factors. Then, I'd set up the PKI infrastructure for public key pair-based authentication. Never miss an opportunity to briefly share your experience with one or more defensive methods against attacks."
163,What is a Traceroute?,Most interviewers ask about Traceroutes to evaluate a candidate's familiarity with network diagnostics. I've used Traceroute to monitor and assess where connections break in company packet path systems. Traceroute helps me identify areas of failure in packet pass-throughs.
164,How can you prevent an XSS attack?,"If the organization uses anti-XSS tools, I'd use those tools to create high-level encryption and prevent XSS attacks. If the company doesn't have anti-XSS tools, I'd create and enforce measures that guarantee user input validation and set up a CSP (content security policy) for the firm's network. After that, I'd encode special characters."
165,How often do you conduct patch management?,"I like to perform patch management as soon as it's released. From experience, I know that Windows patches are released monthly. I'd apply the patch to all of the organization's networks, devices, and servers within a month at most."
166,How would you secure the company's server?,"To secure the company's server, I'll first need to ensure that all of the company's passwords - for both root and administrative users - are secure. After that, I'd create new users that I'll use to manage the system and take away remote access from root accounts and the default administrator. After completing this step, I'd create firewall boundaries for remote access."
167,What are the main transmission modes between devices in a computer network?,"The three transmission modes are the Simplex Mode, the Half-Duplex Mode, and the Full-Duplex Mode. In the Simplex Mode , data can be sent in only one direction. That is, the message cannot be sent back to the sender. In a Half-Duplex Mode , the data can be transmitted in two directions using a signal carrier. However, the transmission cannot be done in both directions at the same time. In the Full-Duplex Mode , the data is bidirectional, that is, it can be sent in both directions at the same time."
168,What are the different types of networks?,"A:The types of networks are LAN, WAN, WLAN, system area network, storage area network, personal area network, and Metropolitan. The types of networks are LAN, WAN, WLAN, system area network, storage area network, personal area network, and Metropolitan."
169,Explain what SSDP is.,"SSDP stands for Simple Service Discovery Protocol, which is a network protocol that uses the internet protocol suite to discover network services and information and for advertisement purposes."
170,Explain to me what a brute-force attack is and how you can avoid it or mitigate it,"A brute-force attack is when a hacker attempts to uncover a target's password using a permutation or fuzzing process. This type of attack takes a long time and process. And it's because of that, that attackers use software such as Hydra or Fuzzer to automate the password creation process. To prevent a brute force attack, you'll need to carry out one or more of the following options: 1) Use strong passwords for your public server or web app: Include numbers, small and capital letters, and special characters to create a long and strong password. 2) Limit the number of login attempts : Either use a plugin to reduce the number of logins allowed per user. If users add their password incorrectly two or three times, they'll be banned from accessing their account for some time. 3) Keep an eye on IP addresses : This can be considered an extension of point #2. Monitoring IP addresses allows you to see where potential hackers for a brute force attack are coming from. It also indicates suspicious activity. This step is important for businesses whose employees work remotely. 4) Use two-factor authentication: You'll notice that many social media apps are beginning to rely on this add-security method. Google is one of those websites that uses a two-factor authentication method for when you log in for the first time via a new browser. 5) Use CAPTCHAs: An acronym for ""Completely Automated Public Turing test to tell Computers and Humans Apart,"" a CAPTCHA is a challenge that involves clicking certain images or writing certain letters and numbers to indicate that the person on the other end is, in fact, a person and no AI."
171,What are common tools used to secure a standard network?,"Tools include firewalls, password managers, IDS and IPS, end-point antiviruses, as well as security policies and procedures."
172,Explain what SNMP is,"SNMP stands for simple network management protocol, which is considered an internet standard protocol and application layer protocol. The SNMP is used to collect and organize information for managed devices on IP networks. It's also used to modify that information so you can change the device's behavior."
173,Explain to me what a sniffing attack is,"A sniffing attack is similar to stealing or intercepting data. The attacker does this by using a sniffer, such as Wireshark, to capture network traffic. If the data isn't encrypted when it's being transferred across the network, the attacker can read the data in the network packet using the sniffer."
174,Name the different layers of the OSI model,OSI stands for Open Systems Interconnection and there are 7 layers in the OSI model. These are: - Physical layer - Datalink layer - Network layer - Transport layer - Session layer - Presentation layer - Application layer
175,What is VLAN? And what are the differences between a VPN and a VLAN?,"The VPN is a remote access network with an encrypted and secured tunnel. A VPN prevents hackers from accessing the network and doesn't allow people to capture the data packets. Meanwhile, the virtual LAN (VLAN) is a broadcast domain that is isolated within a computer network at the data link layer. Using a VLAN, we can group work stations that aren't found in the same location as the broadcast network. A VLAN doesn't require or involve encryption and it can divide networks without physically segregating the switches."
176,What is port blocking within LAN?,Port blocking in LAN means restricting users' access to several services within the local area network.
177,Name some common types of cyberattacks,The most widely-seen cyberattacks are: - Malware - Password attacks - Phishing - Malvertising - Man in the Middle (MITM) - DDoS - Drive-by Downloads - Rogue software
178,What are the differences between HIDS and NIDS?,"A Host IDS (HIDS) and a Network IDS (NIDS) are Intrusion Detection Systems. However, the HIDS can only be set up on a particular device or host, where it will monitor the traffic of this device or host and any suspicious activities. On the other hand, the NIDS is set up on a network where it monitors all the traffic and suspicious activities of all devices connected to the entire network. Cybercrime is a type of crime that happens on the internet. Examples include identity theft, hacking of sensitive information online, ransomware, stealing intellectual property, online predators, and business email compromise (BEC)."
179,What kind of cookie can be used in a spyware attack?,"Tracking cookies are most commonly-used in spyware attacks because they can last through multiple sessions, unlike the session cookie which lasts for only one session."
180,What is SSL and how is it used?,SSL stands for Secure Sockets Layer. It's a type of technology used to protect the information in online payments and transactions by creating and using encrypted connections between a web browser and a web server. SSL certificates are used to provide data privacy.
181,What is Vulnerability Assessment (VA) and how is it different from Penetration Testing (PT)?,"Vulnerability Assessment is the process of locating flaws or vulnerabilities on the target. For example, a company may be aware that its security system has flaws or weaknesses. To find those flaws, prioritize them, and fix them, they would need to conduct a Vulnerability Assessment. On the other hand, Penetration Testing (PT) is the process of finding vulnerabilities on the target. In this situation, the company would have set up all possible security measures they could think of and test other ways their system or network may be hacked. Before we dive into the questions a cybersecurity project manager will likely see in an interview, let's first define what a cybersecurity project manager does - as opposed to an entry-level executive or an analyst."
182,What does a Cybersecurity Project Manager do?,"""Project managers are change agents…They make project goals their own and use their skills and expertise to inspire a sense of shared purpose within the project team."" ( The Project Management Institute - PMI ) Add in the needs and tasks performed by a cybersecurity executive and you have a role that juggles both tech, security, and a lot of responsibility. Often part of the IT team, cybersecurity project managers are tasked with defending their company or organization against hackers and cyberattacks. Here's what one cybersecurity project manager has to say about his role: ""I work to ensure my organization's critical infrastructure, their assets, things that are critical to the organization's survival has security built-in, preferably from the very beginning,"" cybersecurity project manager Jackie Olshack, PMP tells The INFOSEC Institute ."
183,What is a data leak? How can you detect it and prevent it?,"A data leak is when a company's or organization's private data is released to the public in an unauthorized manner. Data leaks can come in many ways such as hacked emails and networks, stolen or lost laptops, or released photos. To prevent a data leak, a company needs to restrict internet uploads, add restrictions to email servers, and restrict the printing of confidential information and data. To detect a data leak, you'll need to: 1) Monitor access to all your networks 2) Evaluate the risk of third-parties 3) Identify and secure sensitive data 4) Encrypt data 5) Secure all endpoints 6) Evaluate permissions across the organization 7) Use cybersecurity risk assessments"
184,What is a cybersecurity risk assessment?,"A cybersecurity risk assessment is part of an organization's risk management strategy because it helps them see how their security is performing along with current vulnerabilities and potential risks. A cybersecurity risk assessment also covers the different types of assets owned by a company that may be prone to cyberattacks. These assets can include physical assets such as hardware, laptops, or non-physical assets such as customer data. Companies that use a cyber risk assessment can prioritize addressing those risks based on their importance and the available budget."
185,What is phishing? And how can you prevent it?,"Phishing is a type of cyberattack where a hacker pretends to be a trustworthy person or company in order to steal personal and sensitive data and information using a fraudulent email or another type of message. To prevent phishing attacks, a user or company can follow these best practices: - Avoid entering sensitive information - such as credit card data or passwords - in websites you don't know or trust - Use firewalls so they can detect unsafe and spammy sites - Use antivirus software with internet security - Verify the site's security - Use an anti-phishing toolbar"
186,What is an SQL injection? And how can you prevent it?,"An SQL injection (SQLi) is an attack by injecting a code so that the hacker can manipulate any data that's being sent to the server to carry out malicious SQL statements and thereby control the web application's database server. In other words, the SQL injection allows the hacker or attacker to access, change, or even delete data on a server. Hackers use SQL injections to take over database servers. To prevent an SQL injection, you need to: - Use prepared statements - Use stored procedures - Validate user input"
187,What is MAC spoofing?,"MAC stands for Media Access Control. A MAC Address is a physical and unique identification number that's placed on every network-connected device. The MAC address is virtually etched to the hardware by the device manufacturer, which means users cannot change or rewrite the MAC address. However, it's possible to mask the address on the software side. This masking is called MAC spoofing. Hackers use MAC spoofing to hide their identity and imitate others. In network terminology, spoofing is manipulating or infiltrating the address system in computer networks. Other targets that hackers can spoof or manipulate are internet protocol (IP), address resolution protocol (ARP), and the domain name system (DNS)."
188,What is a Botnet? And how does it work?,"A Botnet is a network of devices connected to the internet that has been hijacked by a number of malicious bots. Sometimes these bots are referred to as zombies, making the botnet a zombie army. The person in charge of the botnet is called a bot herder and they can direct each malicious bot to perform an illegal action. Botnets are often used to send spam messages, steal data, or carry out a DDoS attack."
189,What is cognitive cybersecurity?,"Cognitive Cybersecurity is using AI that relies on human thought processes to uncover threats and protect both digital and physical systems. Using a high-powered computer model, self-learning security systems use natural language processing, data mining, and pattern recognition to mimic the human brain."
190,What is a Brute Force Attack? What steps can you take to prevent it?,"A brute force attack is a trial-and-error method used to decode encrypted data such as a password by trying various combinations of possible credentials. These brute force attacks are typically automated. Some of the methods you can use to prevent these cyberattacks include instituting mandatory password complexity and length (and ensuring that no one in the company is still using a default password), putting a two-factor authentication system in place, or setting a limit on unsuccessful login attempts."
191,What is the difference between black hat and white hat hackers?,"A black hat hacker is a person who tries to obtain unauthorized access into computer systems or operating systems through a brute force attack or other tactics for malicious reasons, while white hat hackers use some of the same tactics for a totally different goal: to help organizations fix vulnerabilities to protect data and keep sensitive data safe from malicious actors."
192,What are the different layers of the OSI model?,The seven different layers of OSI (Open Systems Interconnection) models are: Physical Layer Data Link Layer Network Layer Transport Layer Session Layer Presentation Layer Application Layer
193,What steps would you take to secure a server?,"For virtually any job in cyber security, hiring managers will want to know that you have experience protecting and securing a web server. The first step in your response should be to secure passwords for administrative and root users before removing remote access from default admin and root accounts. The final step would be to set up a firewall to monitor network traffic and protect the computer system from being attacked by malware, viruses, or warms."
