,question,answer
3.093946578666916e+169,How does attack software 'S0570: BitPaymer' use attack technique 'T1007: System Service Discovery'?,BitPaymer uses attack technique 'T1007: System Service Discovery' by enumerating existing Windows services on the host that are configured to run as LocalSystem.
1.1066448014393994e+136,How does attack software 'S0570: BitPaymer' use attack technique 'T1070.006: Timestomp'?,BitPaymer modifies the timestamp of an executable so that it can be identified and restored by the decryption tool.
7.337301882196945e+223,How does attack software 'S0570: BitPaymer' use attack technique 'T1222.001: Windows File and Directory Permissions Modification'?,BitPaymer uses the 'icacls /reset' and 'takeown /F' commands to reset the permissions of a targeted executable and then take ownership.
3.435152273112381e+228,How does attack software 'S0570: BitPaymer' use attack technique 'T1543.003: Windows Service'?,BitPaymer has attempted to install itself as a service to maintain persistence.
1.5743427966897487e+161,How does attack software 'S1070: Black Basta' use attack technique 'T1027.001: Binary Padding'?,Black Basta adds data prior to the Portable Executable (PE) header to prevent automatic scanners from identifying the payload.
9.921526055363996e+247,How does attack software 'S1070: Black Basta' use attack technique 'T1553.002: Code Signing'?,The Black Basta dropper has been digitally signed with a certificate issued by Akeo Consulting for legitimate executables used for creating bootable USB drives.
1.128655685078272e+102,How does attack software 'S1070: Black Basta' use attack technique 'T1486: Data Encrypted for Impact'?,Black Basta uses the ChaCha20 cipher to encrypt files and employs a multithreaded process to increase the speed of the encryption.
2.4512543805542653e+198,How does attack software 'S1070: Black Basta' use attack technique 'T1622: Debugger Evasion'?,"The Black Basta dropper checks system flags, CPU registers, CPU instructions, process timing, system libraries, and APIs to determine if a debugger is present."
6.973797923685051e+228,How does attack software 'S1070: Black Basta' use attack technique 'T1083: File and Directory Discovery'?,Black Basta can enumerate specific files for encryption.
3.6472358182560666e+180,How does attack software 'S1070: Black Basta' use attack technique 'T1490: Inhibit System Recovery'?,"Black Basta can delete shadow copies using vssadmin.exe, thereby inhibiting system recovery."
1.1063172891247011e+31,How does attack software 'S1070: Black Basta' use attack technique 'T1491.001: Internal Defacement'?,Black Basta sets the desktop wallpaper on victims' machines to display a ransom note.
2.3126107626894393e-152,How does attack software 'S1070: Black Basta' use attack technique 'T1222.002: Linux and Mac File and Directory Permissions Modification'?,The Black Basta binary uses the `chmod` command to gain full permissions to targeted files.
7.355330239764595e+223,How does attack software 'S1070: Black Basta' use attack technique 'T1204.002: Malicious File'?,Black Basta has been downloaded and executed from malicious Excel files.
2.558681605253567e-86,How does attack software 'S1070: Black Basta' use attack technique 'T1036.004: Masquerade Task or Service'?,Black Basta uses attack technique 'T1036.004: Masquerade Task or Service' by creating a new service named 'FAX' after deleting the legitimate service by the same name.
2.46001580166775e+198,How does attack software 'S1070: Black Basta' use attack technique 'T1036.005: Match Legitimate Name or Location'?,"The attack software 'S1070: Black Basta' uses attack technique 'T1036.005: Match Legitimate Name or Location' by mimicking an application for creating USB bootable drivers, thereby deceiving the target."
6.013915196765249e-154,How does attack software 'S1070: Black Basta' use attack technique 'T1112: Modify Registry'?,Black Basta uses the 'T1112: Modify Registry' attack technique to enable itself to run in safe mode and to modify the icons and file extensions for encrypted files.
1.837149510629825e+223,How does attack software 'S1070: Black Basta' use attack technique 'T1106: Native API'?,"Black Basta has the ability to use native APIs for numerous functions, including discovery and defense evasion."
3.170958125774948e+180,How does attack software 'S1070: Black Basta' use attack technique 'T1059.001: PowerShell'?,Black Basta uses PowerShell scripts for discovery and to execute files over the network.
2.1952621316411722e-152,How does attack software 'S1070: Black Basta' use attack technique 'T1018: Remote System Discovery'?,Black Basta can use LDAP queries to connect to Active Directory (AD) and iterate over connected workstations.
2.3239239553181066e-152,How does attack software 'S1070: Black Basta' use attack technique 'T1562.009: Safe Mode Boot'?,Black Basta uses the command 'bcdedit /set safeboot network' to reboot victim machines in safe mode with networking.
1.9420838042645223e+227,How does attack software 'S1070: Black Basta' use attack technique 'T1497.001: System Checks'?,"Black Basta uses attack technique 'T1497.001: System Checks' by checking system flags and libraries, process timing, and APIs to detect code emulation or sandboxing."
3.955862036661972e+252,How does attack software 'S1070: Black Basta' use attack technique 'T1082: System Information Discovery'?,Black Basta can enumerate volumes and collect system boot configuration and CPU information.
2.080630131438004e-115,How does attack software 'S1070: Black Basta' use attack technique 'T1007: System Service Discovery'?,Black Basta can check whether the service name FAX is present.
2.355100196983138e+251,How does attack software 'S1070: Black Basta' use attack technique 'T1497: Virtualization/Sandbox Evasion'?,Black Basta employs the T1497 technique by making a random number of calls to the `kernel32.beep` function to hinder log analysis.
9.041152192170378e+271,How does attack software 'S1070: Black Basta' use attack technique 'T1059.003: Windows Command Shell'?,Black Basta can use `cmd.exe` to enable shadow copy deletion.
1.6603617428670867e+243,How does attack software 'S1070: Black Basta' use attack technique 'T1047: Windows Management Instrumentation'?,Black Basta has used Windows Management Instrumentation (WMI) to execute files over the network.
2.3895469201088254e+180,How does attack software 'S1070: Black Basta' use attack technique 'T1543.003: Windows Service'?,Black Basta can create a new service to establish persistence.
2.1132928853813651e+214,How does attack software 'S1068: BlackCat' use attack technique 'T1134: Access Token Manipulation'?,BlackCat has the ability to modify access tokens.
4.3732235214547036e+257,How does attack software 'S1068: BlackCat' use attack technique 'T1548.002: Bypass User Account Control'?,BlackCat can bypass User Account Control to escalate privileges.
7.10084081566795e+194,How does attack software 'S1068: BlackCat' use attack technique 'T1070.001: Clear Windows Event Logs'?,BlackCat uses the 'wevtutil.exe' command to clear Windows event logs.
1.8912228941643762e+219,How does attack software 'S0022: Uroburos' use attack technique 'T1083: File and Directory Discovery'?,Uroburos can search for specific files on a compromised system.
6.901354337826027e+212,How does attack software 'S0022: Uroburos' use attack technique 'T1027.011: Fileless Storage'?,Uroburos stores configuration information for its kernel driver and kernel driver loader components in an encrypted blob typically found at `HKLM:\SOFTWARE\Classes\.wav\OpenWithProgIds.`
4.0747419938103594e+223,How does attack software 'S0022: Uroburos' use attack technique 'T1564.005: Hidden File System'?,"Uroburos can use concealed storage mechanisms, specifically an NTFS or FAT-16 filesystem, which is encrypted with CAST-128 in CBC mode."
7.337301916803646e+223,How does attack software 'S0022: Uroburos' use attack technique 'T1105: Ingress Tool Transfer'?,Uroburos can use a 'Put' command to write files to an infected machine.
3.435152273112381e+228,How does attack software 'S0022: Uroburos' use attack technique 'T1559: Inter-Process Communication'?,Uroburos uses named pipes to move data between its kernel and user mode components.
1.5743427966897487e+161,How does attack software 'S0022: Uroburos' use attack technique 'T1001.001: Junk Data'?,"Uroburos adds extra characters in encoded strings to mimic legitimate DNS requests, thereby utilizing the 'T1001.001: Junk Data' attack technique."
9.921526055363996e+247,How does attack software 'S0022: Uroburos' use attack technique 'T1071.003: Mail Protocols'?,Uroburos can use custom communications protocols that ride over SMTP.
1.128655685078272e+102,How does attack software 'S0022: Uroburos' use attack technique 'T1036.004: Masquerade Task or Service'?,"Uroburos registers a service named `WerFaultSvc`, which is likely to spoof the legitimate Windows error reporting service."
2.4512543805542653e+198,How does attack software 'S0022: Uroburos' use attack technique 'T1112: Modify Registry'?,"Uroburos stores configuration information in the Registry, including the initialization vector and AES key, which are necessary to locate and decrypt other Uroburos components."
6.973797923685051e+228,How does attack software 'S0022: Uroburos' use attack technique 'T1104: Multi-Stage Channels'?,Individual Uroburos implants can use multiple communication channels based on one of four available modes of operation.
8.67185941010345e+199,How does attack software 'S0022: Uroburos' use attack technique 'T1090.003: Multi-hop Proxy'?,Uroburos can use implants on multiple compromised machines to proxy communications through its worldwide P2P network.
2.8652381003490303e+161,How does attack software 'S0022: Uroburos' use attack technique 'T1106: Native API'?,"Uroburos can use native Windows APIs, specifically the 'GetHostByName' API, to carry out its malicious activities."
5.987372470853436e+247,How does attack software 'S0022: Uroburos' use attack technique 'T1095: Non-Application Layer Protocol'?,"Uroburos can communicate through custom methodologies for UDP, ICMP, and TCP that use distinct sessions to ride over the legitimate protocols."
7.514465241446299e+199,How does attack software 'S0022: Uroburos' use attack technique 'T1132.002: Non-Standard Encoding'?,Uroburos can use a custom base62 encoding and a de-facto base32 encoding that employs digits 0-9 and lowercase letters a-z in its C2 communications.
2.63699030753845e+92,How does attack software 'S0022: Uroburos' use attack technique 'T1057: Process Discovery'?,Uroburos can use its Process List command to enumerate processes on compromised hosts.
5.804243515822707e+180,How does attack software 'S0022: Uroburos' use attack technique 'T1001.003: Protocol Impersonation'?,"Uroburos can use custom communication methodologies that ride over common protocols including TCP, UDP, HTTP, SMTP, and DNS in order to blend with normal network traffic."
4.1136730192315754e+223,How does attack software 'S0022: Uroburos' use attack technique 'T1572: Protocol Tunneling'?,"Uroburos uses attack technique 'T1572: Protocol Tunneling' by communicating over custom communications methodologies that ride over common network protocols, including raw TCP and UDP sockets, HTTP, SMTP, and DNS."
5.131216632527686e+252,How does attack software 'S0022: Uroburos' use attack technique 'T1012: Query Registry'?,"Uroburos queries the Registry, typically at the key 'HKLM:\SOFTWARE\Classes\.wav\OpenWithProgIds', to find the key and path to decrypt and load its kernel driver and kernel driver loader."
1.1073495945209793e+136,How does attack software 'S0022: Uroburos' use attack technique 'T1620: Reflective Code Loading'?,Uroburos uses attack technique 'T1620: Reflective Code Loading' by loading new modules directly into memory using its 'Load Modules Mem' command.
1.948624038838077e-153,How does attack software 'S0022: Uroburos' use attack technique 'T1014: Rootkit'?,Uroburos can use its kernel module to prevent its host components from being listed by the targeted system's OS and to mediate requests between user mode and concealed components.
2.6097441741474e+180,How does attack software 'S0022: Uroburos' use attack technique 'T1027.002: Software Packing'?,Uroburos uses a custom packer to employ the software packing technique.
3.8885335919286474e+160,How does attack software 'S0022: Uroburos' use attack technique 'T1573.001: Symmetric Cryptography'?,"Uroburos uses CAST-128 symmetric cryptography to encrypt data beneath its http2 or tcp encryption at the session layer, employing a different key for incoming and outgoing data."
6.013915197140696e-154,How does attack software 'S0022: Uroburos' use attack technique 'T1082: System Information Discovery'?,Uroburos has the ability to gather basic system information and run the POSIX API gethostbyname.
1.4692355865339195e+195,How does attack software 'S0022: Uroburos' use attack technique 'T1205: Traffic Signaling'?,"Uroburos intercepts the first client-to-server packet in the 3-way TCP handshake to determine if it contains the correct unique value for a specific Uroburos implant. If the value does not match, the packet and the rest of the TCP session are passed to the legitimate listening application."
1.0550641070379633e+208,How does attack software 'S0022: Uroburos' use attack technique 'T1071.001: Web Protocols'?,Uroburos uses a custom HTTP-based protocol for large data communications that can blend with normal network traffic by riding on top of standard HTTP.
1.1671293417817185e+200,How does attack software 'S0022: Uroburos' use attack technique 'T1059.003: Windows Command Shell'?,Uroburos has the ability to use the command line for execution on the targeted system.
5.845885994109441e+199,How does attack software 'S0022: Uroburos' use attack technique 'T1543.003: Windows Service'?,"Uroburos registers a service, typically named `WerFaultSvc`, to decrypt and find a kernel driver and kernel driver loader to maintain persistence."
7.266158896933434e+223,How does attack software 'S0386: Ursnif' use attack technique 'T1185: Browser Session Hijacking'?,"Ursnif injects HTML codes into banking sites to steal sensitive online banking information, such as usernames and passwords."
7.497368177901042e+247,How does attack software 'S0386: Ursnif' use attack technique 'T1027.010: Command Obfuscation'?,Ursnif droppers execute base64 encoded PowerShell commands.
2.865238100349549e+161,How does attack software 'S0386: Ursnif' use attack technique 'T1559.001: Component Object Model'?,Ursnif droppers use Component Object Model (COM) objects to execute the malware's full executable payload.
1.80426801120116e+44,How does attack software 'S0386: Ursnif' use attack technique 'T1056.004: Credential API Hooking'?,"Ursnif has hooked APIs to perform a wide variety of information theft, such as monitoring traffic from browsers."
8.034083404611515e-95,How does attack software 'S0386: Ursnif' use attack technique 'T1132: Data Encoding'?,Ursnif has been known to use encoded data in HTTP URLs for its C2 communications.
1.4691416627275223e+195,How does attack software 'S0386: Ursnif' use attack technique 'T1005: Data from Local System'?,"Ursnif has been known to collect files from victim machines, including certificates and cookies."
2.195265808798104e-152,How does attack software 'S0386: Ursnif' use attack technique 'T1140: Deobfuscate/Decode Files or Information'?,Ursnif uses the attack technique 'T1140: Deobfuscate/Decode Files or Information' to decrypt Tor clients dropped to disk using crypto key information stored in the Registry.
1.606454070840131e+203,How does attack software 'S0386: Ursnif' use attack technique 'T1568.002: Domain Generation Algorithms'?,Ursnif has used a Domain Generation Algorithm (DGA) to generate domain names for command and control.
1.775679576045914e+248,How does attack software 'S0386: Ursnif' use attack technique 'T1027.013: Encrypted/Encoded File'?,"Ursnif uses an XOR-based algorithm to encrypt Tor clients dropped to disk, and it also delivers droppers as password-protected zip files that execute base64 encoded PowerShell commands."
7.14267804873947e+247,How does attack software 'S0386: Ursnif' use attack technique 'T1041: Exfiltration Over C2 Channel'?,Ursnif has used HTTP POSTs to exfiltrate gathered information.
1.27734657682758e-152,How does attack software 'S0386: Ursnif' use attack technique 'T1070.004: File Deletion'?,Ursnif deletes data staged in temporary files after exfiltration.
6.322752856124822e+233,How does attack software 'S0386: Ursnif' use attack technique 'T1105: Ingress Tool Transfer'?,"Ursnif uses attack technique 'T1105: Ingress Tool Transfer' by dropping payload and configuration files to disk, and also downloading and executing additional payloads."
1.0573273633500054e+208,How does attack software 'S0386: Ursnif' use attack technique 'T1074.001: Local Data Staging'?,"Ursnif has used temporary files, also known as tmp files, to stage gathered information."
2.552904156378793e-86,How does attack software 'S0386: Ursnif' use attack technique 'T1036.005: Match Legitimate Name or Location'?,"Ursnif uses attack technique 'T1036.005: Match Legitimate Name or Location' by using strings from legitimate system files and existing folders for its file, folder, and Registry entry names."
1.0734945251824704e+272,How does attack software 'S0386: Ursnif' use attack technique 'T1112: Modify Registry'?,Ursnif has used Registry modifications as part of its installation routine.
8.887557600284974e+247,How does attack software 'S0386: Ursnif' use attack technique 'T1090.003: Multi-hop Proxy'?,"Ursnif has been known to use Tor for command and control (C2) purposes, indicating its ability to employ a multi-hop proxy technique."
1.0589415649626632e-153,How does attack software 'S0386: Ursnif' use attack technique 'T1106: Native API'?,"Ursnif has used the CreateProcessW function to create child processes, which is an example of utilizing the Native API technique 'T1106'."
2.4372265701332117e-152,How does attack software 'S0386: Ursnif' use attack technique 'T1059.001: PowerShell'?,Ursnif droppers use PowerShell in download cradles to download and execute the malware's full executable payload.
6.579214988227514e+271,How does attack software 'S0386: Ursnif' use attack technique 'T1057: Process Discovery'?,Ursnif has gathered information about running processes.
4.311754269024693e+276,How does attack software 'S0386: Ursnif' use attack technique 'T1055.012: Process Hollowing'?,Ursnif has used process hollowing to inject into child processes.
6.013915191903612e-154,How does attack software 'S0386: Ursnif' use attack technique 'T1090: Proxy'?,Ursnif has used a peer-to-peer (P2P) network for command and control (C2).
5.3683591217528866e+252,How does attack software 'S0386: Ursnif' use attack technique 'T1012: Query Registry'?,Ursnif has used the Registry to query for installed programs.
5.22411697566031e+257,How does attack software 'S0386: Ursnif' use attack technique 'T1091: Replication Through Removable Media'?,Ursnif has copied itself to and infected removable drives for propagation.
3.1724781636859125e+180,How does attack software 'S0386: Ursnif' use attack technique 'T1113: Screen Capture'?,Ursnif has used hooked APIs to take screenshots.
1.4551643345478886e-152,How does attack software 'S0386: Ursnif' use attack technique 'T1082: System Information Discovery'?,Ursnif has used Systeminfo to gather system information.
2.438129813908042e-152,How does attack software 'S0386: Ursnif' use attack technique 'T1007: System Service Discovery'?,Ursnif has gathered information about running services.
4.8241089575955045e+228,How does attack software 'S0386: Ursnif' use attack technique 'T1080: Taint Shared Content'?,Ursnif uses attack technique 'T1080: Taint Shared Content' by copying itself to and infecting files in network drives for propagation.
1.021903229252828e-152,How does attack software 'S0386: Ursnif' use attack technique 'T1055.005: Thread Local Storage'?,Ursnif injects code into target processes via thread local storage callbacks.
4.1069246962178744e+223,How does attack software 'S0386: Ursnif' use attack technique 'T1497.003: Time Based Evasion'?,Ursnif uses a 30-minute delay after execution to evade sandbox monitoring tools.
4.887232098342738e+199,How does attack software 'S0386: Ursnif' use attack technique 'T1059.005: Visual Basic'?,Ursnif droppers use VBA macros to download and execute the malware's full executable payload.
2.348966980778143e+251,How does attack software 'S0386: Ursnif' use attack technique 'T1071.001: Web Protocols'?,Ursnif has used HTTPS for command and control.
5.358208551769244e+199,How does attack software 'S0386: Ursnif' use attack technique 'T1047: Windows Management Instrumentation'?,Ursnif droppers have used WMI classes to execute PowerShell commands.
4.0323563793973316e+175,How does attack software 'S0386: Ursnif' use attack technique 'T1543.003: Windows Service'?,Ursnif registers itself as a system service in the Registry for automatic execution at system startup.
1.1449051813683746e+243,How does attack software 'S0442: VBShower' use attack technique 'T1070.004: File Deletion'?,VBShower deletes all files contained in the specified directories to hinder forensic analysis.
1.3980687370922224e-152,How does attack software 'S0442: VBShower' use attack technique 'T1105: Ingress Tool Transfer'?,"VBShower has the ability to download VBS files to the target computer, which is a characteristic of the Ingress Tool Transfer technique."
2.969752545605821e+222,How does attack software 'S0442: VBShower' use attack technique 'T1059.005: Visual Basic'?,"VBShower has the ability to execute VBScript files, which enables it to utilize the Visual Basic attack technique 'T1059.005'."
1.768291126032508e+137,How does attack software 'S0442: VBShower' use attack technique 'T1071.001: Web Protocols'?,VBShower has attempted to obtain a VBS script from command and control nodes over HTTP.
3.6795168232268306e+180,How does attack software 'S0257: VERMIN' use attack technique 'T1560: Archive Collected Data'?,VERMIN encrypts the collected files using 3-DES.
1.219060991273181e-152,How does attack software 'S0257: VERMIN' use attack technique 'T1123: Audio Capture'?,VERMIN can perform audio capture.
9.817991524860754e-153,How does attack software 'S0257: VERMIN' use attack technique 'T1119: Automated Collection'?,"VERMIN uses attack technique 'T1119: Automated Collection' to collect files, which it then saves in an automatically generated format of {0:dd-MM-yyyy}.txt."
9.753880755114415e+199,How does attack software 'S0257: VERMIN' use attack technique 'T1115: Clipboard Data'?,VERMIN collects data stored in the clipboard.
5.667826195654017e+160,How does attack software 'S0257: VERMIN' use attack technique 'T1140: Deobfuscate/Decode Files or Information'?,"VERMIN decrypts code, strings, and commands to use once it's on the victim's machine."
1.1756736396311866e+214,How does attack software 'S0257: VERMIN' use attack technique 'T1027.013: Encrypted/Encoded File'?,VERMIN uses the 'T1027.013: Encrypted/Encoded File' technique by being obfuscated using the ConfuserEx obfuscation tool.
3.478170231579949e+69,How does attack software 'S0257: VERMIN' use attack technique 'T1070.004: File Deletion'?,VERMIN can delete files on the victim's machine.
1.0631441545151775e+248,How does attack software 'S0257: VERMIN' use attack technique 'T1105: Ingress Tool Transfer'?,"VERMIN can download and upload files to the victim's machine, utilizing the 'T1105: Ingress Tool Transfer' attack technique."
6.127436109463054e-154,How does attack software 'S0257: VERMIN' use attack technique 'T1056.001: Keylogging'?,VERMIN collects keystrokes from the victim machine by using the keylogging attack technique 'T1056.001'.
3.578858040462053e+246,How does attack software 'S0257: VERMIN' use attack technique 'T1057: Process Discovery'?,VERMIN can obtain a list of the processes and running tasks on the system by leveraging the Process Discovery technique 'T1057'.
7.628632042972859e+228,How does attack software 'S0257: VERMIN' use attack technique 'T1113: Screen Capture'?,VERMIN can perform screen captures of the victim's machine.
3.983860989204344e+252,How does attack software 'S0257: VERMIN' use attack technique 'T1518.001: Security Software Discovery'?,VERMIN uses Windows Management Instrumentation (WMI) to discover and identify anti-virus software installed on the system.
2.356210164258069e+251,How does attack software 'S0257: VERMIN' use attack technique 'T1027.002: Software Packing'?,VERMIN is initially packed.
1.890639806619095e+219,How does attack software 'S0257: VERMIN' use attack technique 'T1082: System Information Discovery'?,"VERMIN collects the OS name, machine name, and architecture information."
8.708644898732773e+183,How does attack software 'S0257: VERMIN' use attack technique 'T1016: System Network Configuration Discovery'?,VERMIN gathers the local IP address.
1.8206001201023224e+185,How does attack software 'S0257: VERMIN' use attack technique 'T1033: System Owner/User Discovery'?,VERMIN gathers the username from the victim's machine.
1.811548690688142e-152,How does attack software 'S0257: VERMIN' use attack technique 'T1071.001: Web Protocols'?,VERMIN uses HTTP for its C2 communications.
8.545232820389458e+194,How does attack software 'S0476: Valak' use attack technique 'T1119: Automated Collection'?,Valak can download a module to search for and build a report of harvested credential data.
2.886451186243695e+214,How does attack software 'S0476: Valak' use attack technique 'T1552.002: Credentials in Registry'?,Valak can use the clientgrabber module to steal e-mail credentials from the Registry.
1.8205174790747207e+185,How does attack software 'S0476: Valak' use attack technique 'T1140: Deobfuscate/Decode Files or Information'?,Valak has the ability to decode and decrypt downloaded files.
1.4540050624820202e-94,How does attack software 'S0476: Valak' use attack technique 'T1087.002: Domain Account'?,Valak has the ability to enumerate domain admin accounts.
5.709482667944377e+228,How does attack software 'S0476: Valak' use attack technique 'T1559.002: Dynamic Data Exchange'?,Valak can execute tasks via OLE.
7.853795508847418e-85,How does attack software 'S0476: Valak' use attack technique 'T1041: Exfiltration Over C2 Channel'?,Valak has the ability to exfiltrate data over the C2 channel.
6.081635254328109e+247,How does attack software 'S0476: Valak' use attack technique 'T1008: Fallback Channels'?,Valak can communicate over multiple C2 hosts.
2.6451987326973737e+185,How does attack software 'S0476: Valak' use attack technique 'T1027.011: Fileless Storage'?,Valak uses the 'T1027.011: Fileless Storage' technique by storing information regarding the C2 server and downloads in the Registry key 'HKCU\Software\ApplicationContainer\Appsw64'.
6.127436132303404e-154,How does attack software 'S0476: Valak' use attack technique 'T1105: Ingress Tool Transfer'?,"Valak uses attack technique 'T1105: Ingress Tool Transfer' by downloading a variety of modules and payloads to the compromised host, including IcedID and NetSupport Manager RAT-based malware."
7.501870339008787e+247,How does attack software 'S0476: Valak' use attack technique 'T1059.007: JavaScript'?,Valak can execute JavaScript containing configuration data for establishing persistence.
5.709517358659625e+228,How does attack software 'S0476: Valak' use attack technique 'T1087.001: Local Account'?,Valak has the ability to enumerate local admin accounts.
9.052802094217593e+223,How does attack software 'S0476: Valak' use attack technique 'T1204.002: Malicious File'?,Valak has been executed via Microsoft Word documents containing malicious macros.
9.104344201281384e+276,How does attack software 'S0476: Valak' use attack technique 'T1104: Multi-Stage Channels'?,Valak can download additional modules and malware capable of using separate C2 channels.
1.0649987231625671e-94,How does attack software 'S0476: Valak' use attack technique 'T1564.004: NTFS File Attributes'?,Valak has the ability to save and execute files as alternate data streams (ADS).
6.520165976635723e+252,How does attack software 'S0476: Valak' use attack technique 'T1027: Obfuscated Files or Information'?,"Valak has the ability to base64 encode and XOR encrypt strings, which enables it to obfuscate files or information."
4.1058061472151427e+223,How does attack software 'S0585: Kerrdown' use attack technique 'T1566.002: Spearphishing Link'?,Kerrdown has been distributed via e-mails containing a malicious link.
8.882372010459317e+247,How does attack software 'S0585: Kerrdown' use attack technique 'T1082: System Information Discovery'?,Kerrdown uses attack technique 'T1082: System Information Discovery' to determine if the compromised host is running a 32 or 64-bit OS architecture.
7.295422454296616e+175,How does attack software 'S0585: Kerrdown' use attack technique 'T1059.005: Visual Basic'?,Kerrdown can use a VBS base64 decoder function published by Motobit to leverage the Visual Basic attack technique.
2.7966121559579323e-152,How does attack software 'S0487: Kessel' use attack technique 'T1560: Archive Collected Data'?,Kessel uses the 'T1560: Archive Collected Data' technique by encrypting credentials using RC4 before sending them to the command and control (C2) server.
1.3497124182706836e-22,How does attack software 'S0487: Kessel' use attack technique 'T1059: Command and Scripting Interpreter'?,Kessel can create a reverse shell between the infected host and a specified system.
7.346312165751424e+223,How does attack software 'S0487: Kessel' use attack technique 'T1554: Compromise Host Software Binary'?,Kessel maliciously alters the OpenSSH binary on targeted systems to create a backdoor.
3.110824794931571e+161,How does attack software 'S0487: Kessel' use attack technique 'T1030: Data Transfer Size Limits'?,Kessel uses attack technique 'T1030: Data Transfer Size Limits' by splitting the data to be exfiltrated into chunks that will fit in subdomains of DNS queries.
1.9129708076747615e+214,How does attack software 'S0487: Kessel' use attack technique 'T1140: Deobfuscate/Decode Files or Information'?,Kessel decrypts the binary's configuration once the main function is launched.
5.7094740148100205e+228,How does attack software 'S0487: Kessel' use attack technique 'T1027.013: Encrypted/Encoded File'?,Kessel's configuration is hardcoded and RC4 encrypted within the binary.
1.108667734895514e+219,How does attack software 'S0487: Kessel' use attack technique 'T1041: Exfiltration Over C2 Channel'?,Kessel exfiltrates information gathered from the infected system to the C2 server.
1.815902442967525e-152,How does attack software 'S0487: Kessel' use attack technique 'T1048.003: Exfiltration Over Unencrypted Non-C2 Protocol'?,"Kessel can exfiltrate credentials and other information via HTTP POST request, TCP, and DNS."
1.4889029576003798e+195,How does attack software 'S0487: Kessel' use attack technique 'T1105: Ingress Tool Transfer'?,"Kessel can download additional modules from the C2 server, which enables it to utilize the 'T1105: Ingress Tool Transfer' attack technique."
1.8115449815430483e-152,How does attack software 'S0487: Kessel' use attack technique 'T1556: Modify Authentication Process'?,Kessel has trojanized the ssh_login and user-auth_pubkey functions to steal plaintext credentials.
2.6097476498366793e+180,How does attack software 'S0487: Kessel' use attack technique 'T1090: Proxy'?,Kessel can use a proxy during exfiltration if set in the configuration.
4.245102047009498e+175,How does attack software 'S0487: Kessel' use attack technique 'T1132.001: Standard Encoding'?,Kessel exfiltrates data via hexadecimal-encoded subdomain fields of DNS queries.
1.3035521316903821e-76,How does attack software 'S0487: Kessel' use attack technique 'T1082: System Information Discovery'?,"Kessel uses the 'T1082: System Information Discovery' technique to collect system architecture, OS version, and MAC address information."
6.013471755987018e-154,How does attack software 'S0487: Kessel' use attack technique 'T1016: System Network Configuration Discovery'?,Kessel uses attack technique T1016: System Network Configuration Discovery by collecting the DNS address of the infected host.
8.882372010459317e+247,How does attack software 'S1020: Kevin' use attack technique 'T1071.004: DNS'?,Kevin can communicate over DNS through queries to the server for constructed domain names with embedded information.
7.295422454296616e+175,How does attack software 'S1020: Kevin' use attack technique 'T1074: Data Staged'?,Kevin can create directories to store logs and other collected data.
5.762045791683424e+228,How does attack software 'S1020: Kevin' use attack technique 'T1030: Data Transfer Size Limits'?,Kevin can exfiltrate data to the C2 server in 27-character chunks.
1.2190609913279386e-152,How does attack software 'S1020: Kevin' use attack technique 'T1005: Data from Local System'?,Kevin can upload logs and other data from a compromised host.
1.275871931073214e-152,How does attack software 'S1020: Kevin' use attack technique 'T1027.013: Encrypted/Encoded File'?,Kevin uses the attack technique 'T1027.013: Encrypted/Encoded File' by Base64-encoding its configuration file.
1.2169827333606842e-152,How does attack software 'S1020: Kevin' use attack technique 'T1041: Exfiltration Over C2 Channel'?,Kevin can send data from the victim host through a DNS C2 channel.
1.4362201848929389e+161,How does attack software 'S1020: Kevin' use attack technique 'T1008: Fallback Channels'?,Kevin can assign hard-coded fallback domains for C2.
2.6368082482363665e+92,How does attack software 'S1020: Kevin' use attack technique 'T1070.004: File Deletion'?,Kevin can delete files created on the victim's machine.
6.127436131867333e-154,How does attack software 'S1020: Kevin' use attack technique 'T1564.003: Hidden Window'?,Kevin uses the 'T1564.003: Hidden Window' technique by hiding the current window from the targeted user via the `ShowWindow` API function.
2.267099696465885e+161,How does attack software 'S1020: Kevin' use attack technique 'T1105: Ingress Tool Transfer'?,Kevin can download files to the compromised host.
1.3040490981454557e-76,How does attack software 'S1020: Kevin' use attack technique 'T1001.001: Junk Data'?,Kevin can generate a sequence of dummy HTTP C2 requests to obscure traffic.
4.536852099651259e+217,How does attack software 'S1020: Kevin' use attack technique 'T1106: Native API'?,Kevin can use the `ShowWindow` API to avoid detection.
1.1531249737475446e+214,How does attack software 'S1020: Kevin' use attack technique 'T1572: Protocol Tunneling'?,Kevin can use a custom protocol tunneled through DNS or HTTP.
4.9134754011574986e+252,How does attack software 'S1020: Kevin' use attack technique 'T1036.003: Rename System Utilities'?,"Kevin, the attack software, uses the 'T1036.003: Rename System Utilities' technique by renaming an image of `cmd.exe` with a random name followed by a `.tmpl` extension."
2.96036212616704e+222,How does attack software 'S1020: Kevin' use attack technique 'T1132.001: Standard Encoding'?,Kevin can Base32 encode chunks of output files during exfiltration.
6.46572285381948e+170,How does attack software 'S1020: Kevin' use attack technique 'T1082: System Information Discovery'?,Kevin can enumerate the OS version and hostname of a targeted machine.
